lat,lon,fire_val,date
43.53749999609107,-5.833947396318491,8,2019-04-28
43.53749999609107,-5.822451933468604,8,2019-04-28
42.35416666286471,-3.6479747895652115,8,2019-04-28
42.59583332950954,-1.4546474255252164,8,2019-04-30
42.04583332955926,-8.298441480577821,8,2019-04-30
42.04583332955926,-8.28721978824438,8,2019-04-30
42.03749999622668,-8.297353210461269,8,2019-04-30
42.03749999622668,-8.286132989757467,8,2019-04-30
42.0291666628941,-8.29626540121814,8,2019-04-30
42.0291666628941,-8.28504665152075,8,2019-04-30
42.0291666628941,-8.273827901823363,8,2019-04-30
42.0291666628941,-8.262609152125977,8,2019-04-30
42.0291666628941,-0.8245781027579903,8,2019-04-30
42.0291666628941,-0.813359353060603,8,2019-04-30
42.020833329561526,-0.8244700295708679,8,2019-04-30
42.020833329561526,-0.8132527502569789,8,2019-04-30
42.01249999622894,-0.8243620021454784,8,2019-04-30
42.01249999622894,-0.813146192592479,8,2019-04-30
41.687499996258325,-8.352489990906436,8,2019-04-30
41.687499996258325,-8.341331019642698,8,2019-04-30
41.679166662925745,-8.351408329161728,8,2019-04-30
41.679166662925745,-8.340250803003864,8,2019-04-30
41.38749999628544,-7.6140745539077255,8,2019-04-30
41.38749999628544,-7.602967224142725,8,2019-04-30
